retries,elapsed,delay,loss,size,rate,proto,GTRs
0,0.08186200,0.0,0.0,1000,12220.0,IPv4,0
0,0.09524200,0.0,0.0,1000,10500.0,IPv6,1
0,1.13103700,0.0,0.0,1000,884.1,IPv4,3
0,0.11423900,0.0,0.0,1000,8754.0,IPv6,0
0,1.13061200,0.0,0.0,1000,884.5,IPv4,4
0,0.13300800,0.0,0.0,1000,7518.0,IPv6,1
0,1.19312500,0.0,0.0,1000,838.1,IPv4,5
0,0.19903600,0.0,0.0,1000,5024.0,IPv6,0
0,0.28433200,0.0,0.0,1000,3517.0,IPv4,3
0,1.35768200,0.0,0.0,1000,736.5,IPv6,6
0,0.49035400,0.0,0.0,1000,2039.0,IPv4,4
0,0.49988400,0.0,0.0,1000,2000.0,IPv6,2
0,1.08406400,0.0,0.0,1000,922.5,IPv4,6
0,1.09504900,0.0,0.0,1000,913.2,IPv6,4
0,0.08744300,0.0,0.1,1000,11440.0,IPv4,0
0,1.10484300,0.0,0.1,1000,905.1,IPv6,7
0,0.10788200,10.1,0.1,1000,9269.0,IPv4,1
0,1.17461900,10.1,0.1,1000,851.3,IPv6,6
0,0.12397300,20.1,0.1,1000,8066.0,IPv4,0
0,1.14190800,20.1,0.1,1000,875.7,IPv6,8
0,0.18555900,50.0,0.1,1000,5389.0,IPv4,0
0,1.21531700,50.0,0.1,1000,822.8,IPv6,9
0,0.28347200,100.0,0.1,1000,3528.0,IPv4,0
0,1.29993500,100.0,0.1,1000,769.3,IPv6,10
0,0.48287600,200.0,0.1,1000,2071.0,IPv4,1
0,0.48756300,200.0,0.1,1000,2051.0,IPv6,5
0,1.08691800,500.0,0.1,1000,920.0,IPv4,5
0,1.09063700,500.0,0.1,1000,916.9,IPv6,6
0,0.08505700,0.0,10.0,1000,11760.0,IPv4,0
0,1.11855900,0.0,10.0,1000,894.0,IPv6,7
0,0.10559200,10.1,10.0,1000,9470.0,IPv4,0
0,1.16518900,10.1,10.0,1000,858.2,IPv6,9
0,0.12568400,20.1,10.0,1000,7956.0,IPv4,0
0,1.14179500,20.1,10.0,1000,875.8,IPv6,9
0,14.19968600,50.0,10.0,1000,70.42,IPv4,27
0,1.20206200,50.0,10.0,1000,831.9,IPv6,5
0,5.29319400,100.0,10.0,1000,188.9,IPv4,8
0,0.28810800,100.0,10.0,1000,3471.0,IPv6,2
0,5.48723300,200.0,10.0,1000,182.2,IPv4,10
0,0.49972200,200.0,10.0,1000,2001.0,IPv6,1
0,1.08224500,500.0,10.0,1000,924.0,IPv4,5
0,1.09383200,500.0,10.0,1000,914.2,IPv6,3
0,0.08508300,0.0,20.0,1000,11750.0,IPv4,0
0,1.10538800,0.0,20.0,1000,904.7,IPv6,7
0,0.10408700,10.1,20.0,1000,9607.0,IPv4,1
0,1.13307900,10.1,20.0,1000,882.6,IPv6,9
0,0.12499500,20.1,20.0,1000,8000.0,IPv4,0
0,1.15716400,20.1,20.0,1000,864.2,IPv6,7
0,0.18314000,50.0,20.0,1000,5460.0,IPv4,2
0,5.20404800,50.0,20.0,1000,192.2,IPv6,18
0,3.36363800,100.0,20.0,1000,297.3,IPv4,9
0,6.33271000,100.0,20.0,1000,157.9,IPv6,6
0,0.48593300,200.0,20.0,1000,2058.0,IPv4,0
0,5.49540800,200.0,20.0,1000,182.0,IPv6,9
0,1.08595600,500.0,20.0,1000,920.8,IPv4,3
0,6.09550000,500.0,20.0,1000,164.1,IPv6,7
0,0.08637200,0.0,30.1,1000,11580.0,IPv4,0
0,15.13214100,0.0,30.1,1000,66.08,IPv6,20
0,0.10380500,10.1,30.1,1000,9633.0,IPv4,0
0,15.13305700,10.1,30.1,1000,66.08,IPv6,18
0,0.12459000,20.1,30.1,1000,8026.0,IPv4,0
0,5.14407000,20.1,30.1,1000,194.4,IPv6,8
0,0.18412000,50.0,30.1,1000,5431.0,IPv4,2
0,5.19575100,50.0,30.1,1000,192.5,IPv6,11
0,15.30318000,100.0,30.1,1000,65.35,IPv4,22
0,0.29350100,100.0,30.1,1000,3407.0,IPv6,0
0,0.48465400,200.0,30.1,1000,2063.0,IPv4,2
0,0.54352100,200.0,30.1,1000,1840.0,IPv6,1
0,1.08414100,500.0,30.1,1000,922.4,IPv4,4
0,8.17655800,500.0,30.1,1000,122.3,IPv6,22
0,20.13481000,0.0,50.2,1000,49.67,IPv4,49
0,1.13748400,0.0,50.2,1000,879.1,IPv6,3
0,5.10848200,10.1,50.2,1000,195.8,IPv4,7
0,0.11593200,10.1,50.2,1000,8626.0,IPv6,1
0,1.16543100,20.1,50.2,1000,858.1,IPv4,7
0,5.13478800,20.1,50.2,1000,194.8,IPv6,15
0,0.19170900,50.0,50.2,1000,5216.0,IPv4,2
0,1.18722800,50.0,50.2,1000,842.3,IPv6,47
0,5.28822900,100.0,50.2,1000,189.1,IPv4,5
0,1.41410500,100.0,50.2,1000,707.2,IPv6,8
0,0.48489000,200.0,50.2,1000,2062.0,IPv4,0
0,0.49517900,200.0,50.2,1000,2019.0,IPv6,4
0,7.13980700,500.0,50.2,1000,140.1,IPv4,16
0,2.15468200,500.0,50.2,1000,464.1,IPv6,6
0,0.11859100,0.0,60.0,1000,8432.0,IPv4,0
0,8.17656500,0.0,60.0,1000,122.3,IPv6,19
1000000000,1000000000.00000000,10.1,60.0,1000,0.0,IPv4,50
0,1.13470800,10.1,60.0,1000,881.3,IPv6,2
0,19.14208400,20.1,60.0,1000,52.24,IPv4,9
0,0.13145400,20.1,60.0,1000,7607.0,IPv6,1
0,20.23625600,50.0,60.0,1000,49.42,IPv4,22
0,1.20814800,50.0,60.0,1000,827.7,IPv6,2
0,6.34683900,100.0,60.0,1000,157.6,IPv4,6
0,6.33713600,100.0,60.0,1000,157.8,IPv6,6
0,19.50059400,200.0,60.0,1000,51.28,IPv4,18
0,21.72292300,200.0,60.0,1000,46.03,IPv6,35
1000000000,1000000000.00000000,500.0,60.0,1000,0.0,IPv4,72
0,1.08621900,500.0,60.0,1000,920.6,IPv6,1
0,14.09397200,0.0,70.0,1000,70.95,IPv4,7
1000000000,1000000000.00000000,0.0,70.0,1000,0.0,IPv6,43
0,20.15343500,10.1,70.0,1000,49.62,IPv4,16
1000000000,1000000000.00000000,10.1,70.0,1000,0.0,IPv6,83
0,19.13996600,20.1,70.0,1000,52.25,IPv4,15
0,15.43289600,20.1,70.0,1000,64.8,IPv6,15
0,22.30765000,50.0,70.0,1000,44.83,IPv4,8
0,31.77288000,50.0,70.0,1000,31.47,IPv6,39
0,12.38659900,100.0,70.0,1000,80.73,IPv4,20
0,5.30257900,100.0,70.0,1000,188.6,IPv6,6
0,5.48876500,200.0,70.0,1000,182.2,IPv4,15
0,12.58438700,200.0,70.0,1000,79.46,IPv6,33
0,8.19275900,500.0,70.0,1000,122.1,IPv4,35
0,0.58068600,500.0,70.0,1000,1722.0,IPv6,41
0,5.08733000,0.0,80.0,1000,196.6,IPv4,10
0,5.09012900,0.0,80.0,1000,196.5,IPv6,10
0,15.58113000,10.1,80.0,1000,64.18,IPv4,36
0,6.11932400,10.1,80.0,1000,163.4,IPv6,11
0,0.09777500,20.1,80.0,1000,10230.0,IPv4,21
0,12.22140600,20.1,80.0,1000,81.82,IPv6,13
1000000000,1000000000.00000000,50.0,80.0,1000,0.0,IPv4,17
0,3.22839400,50.0,80.0,1000,309.8,IPv6,15
1000000000,1000000000.00000000,100.0,80.0,1000,0.0,IPv4,76
1000000000,1000000000.00000000,100.0,80.0,1000,0.0,IPv6,16
0,15.80503400,200.0,80.0,1000,63.27,IPv4,11
0,19.70782300,200.0,80.0,1000,50.74,IPv6,14
0,2.14578100,500.0,80.0,1000,466.0,IPv4,8
0,0.58115800,500.0,80.0,1000,1721.0,IPv6,41
0,0.08229500,0.0,0.0,10000,121500.0,IPv4,0
0,1.12672800,0.0,0.0,10000,8875.0,IPv6,7
0,0.10846300,0.0,0.0,10000,92200.0,IPv4,2
0,1.17475200,0.0,0.0,10000,8512.0,IPv6,5
0,0.12934100,0.0,0.0,10000,77320.0,IPv4,1
0,1.17880000,0.0,0.0,10000,8483.0,IPv6,7
0,0.18542000,0.0,0.0,10000,53930.0,IPv4,0
0,0.19281800,0.0,0.0,10000,51860.0,IPv6,2
0,0.29097900,0.0,0.0,10000,34370.0,IPv4,2
0,0.28981800,0.0,0.0,10000,34500.0,IPv6,1
0,0.49049000,0.0,0.0,10000,20390.0,IPv4,4
0,0.50278900,0.0,0.0,10000,19890.0,IPv6,4
0,1.08316500,0.0,0.0,10000,9232.0,IPv4,4
0,1.09304500,0.0,0.0,10000,9149.0,IPv6,7
0,0.08547100,0.0,0.1,10000,117000.0,IPv4,0
0,0.08805700,0.0,0.1,10000,113600.0,IPv6,3
0,1.13958200,10.1,0.1,10000,8775.0,IPv4,5
0,0.11691300,10.1,0.1,10000,85530.0,IPv6,2
0,1.18590900,20.1,0.1,10000,8432.0,IPv4,6
0,0.12629400,20.1,0.1,10000,79180.0,IPv6,2
0,0.18366700,50.0,0.1,10000,54450.0,IPv4,2
0,1.24294500,50.0,0.1,10000,8045.0,IPv6,8
0,0.28665700,100.0,0.1,10000,34880.0,IPv4,0
0,0.29290900,100.0,0.1,10000,34140.0,IPv6,2
0,0.48580000,200.0,0.1,10000,20580.0,IPv4,3
0,0.50784200,200.0,0.1,10000,19690.0,IPv6,4
0,1.08721100,500.0,0.1,10000,9198.0,IPv4,6
0,1.09257000,500.0,0.1,10000,9153.0,IPv6,5
0,0.08772500,0.0,10.0,10000,114000.0,IPv4,0
0,1.12439100,0.0,10.0,10000,8894.0,IPv6,9
0,0.10810100,10.1,10.0,10000,92510.0,IPv4,1
0,1.16493400,10.1,10.0,10000,8584.0,IPv6,7
0,0.12547600,20.1,10.0,10000,79700.0,IPv4,0
0,1.15007100,20.1,10.0,10000,8695.0,IPv6,10
0,0.18535300,50.0,10.0,10000,53950.0,IPv4,0
0,1.22390300,50.0,10.0,10000,8171.0,IPv6,7
0,0.28806700,100.0,10.0,10000,34710.0,IPv4,1
0,0.29689800,100.0,10.0,10000,33680.0,IPv6,3
0,0.49606200,200.0,10.0,10000,20160.0,IPv4,3
0,5.50162400,200.0,10.0,10000,1818.0,IPv6,22
0,1.08389200,500.0,10.0,10000,9226.0,IPv4,5
0,1.09429500,500.0,10.0,10000,9138.0,IPv6,5
0,1.09982400,0.0,20.0,10000,9092.0,IPv4,3
0,5.09542200,0.0,20.0,10000,1963.0,IPv6,8
0,20.46449300,10.1,20.0,10000,488.7,IPv4,36
0,0.11403400,10.1,20.0,10000,87690.0,IPv6,0
0,3.24339100,20.1,20.0,10000,3083.0,IPv4,8
0,14.14142700,20.1,20.0,10000,707.1,IPv6,15
0,0.18355000,50.0,20.0,10000,54480.0,IPv4,2
0,0.20072200,50.0,20.0,10000,49820.0,IPv6,2
0,1.33033500,100.0,20.0,10000,7517.0,IPv4,6
0,1.33184800,100.0,20.0,10000,7508.0,IPv6,7
0,0.48640300,200.0,20.0,10000,20560.0,IPv4,2
0,0.48942200,200.0,20.0,10000,20430.0,IPv6,1
0,1.08418900,500.0,20.0,10000,9223.0,IPv4,8
0,1.10110200,500.0,20.0,10000,9082.0,IPv6,4
0,5.08933800,0.0,30.1,10000,1965.0,IPv4,15
0,0.09096200,0.0,30.1,10000,109900.0,IPv6,1
0,3.15788300,10.1,30.1,10000,3167.0,IPv4,11
0,0.11433200,10.1,30.1,10000,87460.0,IPv6,1
0,1.14470900,20.1,30.1,10000,8736.0,IPv4,5
0,1.14216800,20.1,30.1,10000,8755.0,IPv6,5
0,1.19633200,50.0,30.1,10000,8359.0,IPv4,8
0,0.19257800,50.0,30.1,10000,51930.0,IPv6,1
0,19.30342000,100.0,30.1,10000,518.0,IPv4,28
0,5.29892100,100.0,30.1,10000,1887.0,IPv6,7
0,1.54566700,200.0,30.1,10000,6470.0,IPv4,3
0,0.48668000,200.0,30.1,10000,20550.0,IPv6,1
0,15.09166400,500.0,30.1,10000,662.6,IPv4,18
0,1.08587400,500.0,30.1,10000,9209.0,IPv6,2
0,0.09234800,0.0,50.2,10000,108300.0,IPv4,0
0,1.13748400,0.0,50.2,10000,8791.0,IPv6,8
0,20.19871000,10.1,50.2,10000,495.1,IPv4,20
0,1.10485400,10.1,50.2,10000,9051.0,IPv6,21
0,0.13692400,20.1,50.2,10000,73030.0,IPv4,0
0,1.11770800,20.1,50.2,10000,8947.0,IPv6,19
0,3.19996000,50.0,50.2,10000,3125.0,IPv4,31
0,1.19915200,50.0,50.2,10000,8339.0,IPv6,4
0,17.34829600,100.0,50.2,10000,576.4,IPv4,19
0,0.29377300,100.0,50.2,10000,34040.0,IPv6,1
0,0.48351800,200.0,50.2,10000,20680.0,IPv4,3
0,1.54421700,200.0,50.2,10000,6476.0,IPv6,9
0,15.09876300,500.0,50.2,10000,662.3,IPv4,31
0,21.47292700,500.0,50.2,10000,465.7,IPv6,28
0,47.97000300,0.0,60.0,10000,208.5,IPv4,27
0,20.42369800,0.0,60.0,10000,489.6,IPv6,14
0,5.10748100,10.1,60.0,10000,1958.0,IPv4,6
0,3.18923000,10.1,60.0,10000,3136.0,IPv6,8
0,22.22863600,20.1,60.0,10000,449.9,IPv4,30
0,69.31067600,20.1,60.0,10000,144.3,IPv6,70
0,14.20074000,50.0,60.0,10000,704.2,IPv4,10
0,8.28070900,50.0,60.0,10000,1208.0,IPv6,11
0,0.28487500,100.0,60.0,10000,35100.0,IPv4,0
0,14.30835700,100.0,60.0,10000,698.9,IPv6,22
0,0.48521800,200.0,60.0,10000,20610.0,IPv4,5
0,1.53690200,200.0,60.0,10000,6507.0,IPv6,9
0,37.89059000,500.0,60.0,10000,263.9,IPv4,38
1000000000,1000000000.00000000,500.0,60.0,10000,0.0,IPv6,22
0,31.74388500,0.0,70.0,10000,315.0,IPv4,10
0,15.19970000,0.0,70.0,10000,657.9,IPv6,5
0,3.19527200,10.1,70.0,10000,3130.0,IPv4,5
0,50.66894600,10.1,70.0,10000,197.4,IPv6,25
0,15.17215900,20.1,70.0,10000,659.1,IPv4,5
0,19.14676900,20.1,70.0,10000,522.3,IPv6,17
0,20.23747000,50.0,70.0,10000,494.1,IPv4,14
0,8.25309000,50.0,70.0,10000,1212.0,IPv6,9
0,5.28807200,100.0,70.0,10000,1891.0,IPv4,3
0,1.35720100,100.0,70.0,10000,7368.0,IPv6,5
0,1.54043200,200.0,70.0,10000,6492.0,IPv4,3
0,30.12837000,200.0,70.0,10000,331.9,IPv6,38
0,9.15237400,500.0,70.0,10000,1093.0,IPv4,8
0,1.09822900,500.0,70.0,10000,9106.0,IPv6,2
0,7.19765800,0.0,80.0,10000,1389.0,IPv4,37
1000000000,1000000000.00000000,0.0,80.0,10000,0.0,IPv6,44
0,64.01636700,10.1,80.0,10000,156.2,IPv4,62
1000000000,1000000000.00000000,10.1,80.0,10000,0.0,IPv6,3
1000000000,1000000000.00000000,20.1,80.0,10000,0.0,IPv4,33
1000000000,1000000000.00000000,20.1,80.0,10000,0.0,IPv6,24
0,26.33167300,50.0,80.0,10000,379.8,IPv4,5
1000000000,1000000000.00000000,50.0,80.0,10000,0.0,IPv6,60
0,5.29323700,100.0,80.0,10000,1889.0,IPv4,0
1000000000,1000000000.00000000,100.0,80.0,10000,0.0,IPv6,62
0,3.37897100,200.0,80.0,10000,2959.0,IPv4,9
1000000000,1000000000.00000000,200.0,80.0,10000,0.0,IPv6,89
0,21.11298400,500.0,80.0,10000,473.6,IPv4,9
0,4.12489000,500.0,80.0,10000,2424.0,IPv6,9
0,73.09163400,0.0,0.0,100000,1368.0,IPv4,12
0,73.45036600,0.0,0.0,100000,1361.0,IPv6,16
0,77.33258500,0.0,0.0,100000,1293.0,IPv4,11
0,81.63750900,0.0,0.0,100000,1225.0,IPv6,8
0,81.38902600,0.0,0.0,100000,1229.0,IPv4,8
0,98.04779800,0.0,0.0,100000,1020.0,IPv6,13
0,101.86007700,0.0,0.0,100000,981.7,IPv4,8
0,73.45334000,0.0,0.0,100000,1361.0,IPv6,11
